company_name,en_name,funding_date,funding_round,amount_usd_m,amount_rmb_m,investors,tech_route,data_source
宇树科技,Unitree,2025-01,B,150,,红杉中国 顺为资本,通用人形本体,IT桔子
智元机器人,Agibot,2024-12,A,300,,高瓴 蓝驰 鼎晖,通用人形本体,IT桔子
星动纪元,Robotera,2025-02,A,80,,绿洲资本,通用人形本体,公开报道
银河通用,GalaxyBot,2025-03,A,100,,IDG 经纬,灵巧手+双臂,IT桔子
逐际动力,LimX,2024-10,A,50,,绿洲资本 联想,全身运动控制,公开报道
自变量机器人,ZBL,2025-01,天使,10,,深天使,端到端VLA,实习记录
光帆科技,LightSail,2024-09,天使,5,,阿尔法公社,AI硬件,实习记录
傅利叶智能,Fourier,2024-08,C,80,,软银 沙特主权基金,康复外骨骼,公开报道
优必选,UBTECH,2023-12,IPO,120,,公开市场,通用人形本体,公开报道
达闼科技,CloudMinds,2024-06,B,50,,软银中国,云端机器人,IT桔子
智元机器人,Agibot,2025-04,B,200,,腾讯 高瓴,通用人形本体,公开报道
星尘智能,Stardust,2025-01,A,60,,红杉中国 高瓴,灵巧手+双臂,IT桔子
穹彻智能,QiongChe,2024-11,天使,15,,百度风投,端到端VLA,公开报道
加速进化,AccelRobotics,2025-02,A,40,,五源资本,全身运动控制,IT桔子
千寻智能,Qianxun,2025-03,A,30,,IDG资本,端到端VLA,公开报道
帕西尼感知,Pacini,2024-12,A,25,,深创投,灵巧手+双臂,公开报道
灵生科技,Lingsheng,2025-01,天使,8,,真格基金,灵巧手+双臂,IT桔子
因时机器人,Instime,2024-07,A,20,,梅花创投,灵巧手+双臂,公开报道
清昴智能,QingMao,2025-02,天使,12,,绿洲资本,仿真平台,IT桔子
梅卡曼德,MechMind,2024-09,C,100,,美团 红杉,工业视觉,公开报道
非夕科技,Flexiv,2024-06,B,70,,金沙江创投,自适应机器人,IT桔子
思灵机器人,Agile,2024-11,C,60,,高瓴 红杉,灵巧手+双臂,公开报道
本末科技,BenMo,2025-01,A,35,,顺为资本,全身运动控制,IT桔子
加速进化,AccelRobotics,2024-08,天使,20,,真格基金,全身运动控制,公开报道
宇树科技,Unitree,2024-06,A,100,,美团 红杉,通用人形本体,IT桔子
Figure AI,Figure,2024-02,B,675,4800.0,微软 英伟达 OpenAI,通用人形本体,公开报道
1X Technologies,1X,2024-01,B,100,720.0,OpenAI 老虎环球,通用人形本体,公开报道
特斯拉 Optimus,Tesla Optimus,2024-10,内部,0,0.0,特斯拉,通用人形本体,公开报道
波士顿动力,Boston Dynamics,2021-06,并购,1100,7000.0,现代汽车,全身运动控制,公开报道
云深处科技,DEEPRobotics,2024-11,B,50,360.0,红杉中国 顺为,四足机器人,公开报道
智平方,ZhiSquare,2024-12,Pre-A,20,150.0,元璟资本 峰瑞,端到端VLA,公开报道
众擎机器人,EngineAI,2024-08,天使,10,70.0,南山战新投,通用人形本体,公开报道
乐聚机器人,Leju Robotics,2024-06,B,30,220.0,深创投 松禾资本,通用人形本体,公开报道
开普勒机器人,Kepler,2024-10,A,40,290.0,高瓴 线性资本,通用人形本体,公开报道
戴盟机器人,Daimeng,2024-09,天使,8,60.0,顺为资本,灵巧手+双臂,公开报道
国地共建中心,National Center,2024-03,战略,50,360.0,北京国资 亦庄国投,通用人形本体,公开报道
星逻智能,Skysys,2024-07,B,25,180.0,北极光创投,AI硬件,公开报道
速腾聚创,RoboSense,2024-01,IPO,120,860.0,公开市场,感知传感器,公开报道
